,title,text,date,topics,sentiment,tickers
41,"One Percent of Ethereum Supply Already Staked, 6% in DeFi","Over one percent of the entire supply of Ethereum has now been staked on the deposit contract according to co-founder Vitalik Buterin. Staking for ETH 2.0 got off to a slow start when the deposit contract was officially deployed last month, but the target was hit with a late spurt, and the new blockchain launched … Continued The post One Percent of Ethereum Supply Already Staked, 6% in DeFi appeared first on BeInCrypto.","Mon, 07 Dec 2020 01:11:44 -0500",['ethereum'],Positive,['ETH']
42,Bitcoin Treads Water While Ethereum Continues to Set New Records,"Bitcoin's price settled over the weekend, but Ethereum grew thanks to the boom in Defi and Eth 2.0 rollout bringing more users.","Mon, 07 Dec 2020 04:07:22 -0500","['ethereum', 'bitcoin']",Neutral,"['BTC', 'ETH']"
43,Ethereum Expects to Hit $750 as Price Holds Key Technical Support,"Ethereum blockchain native's token ETH expects to reach $750 in the fourth quarter as it holds above a crucial technical support level. On Monday, the ETH/USD exchange rate attempted to breach a short-term ascending trendline for the tenth time since November 26.","Mon, 07 Dec 2020 06:18:37 -0500","['ethereum', 'tanalysis']",Positive,['ETH']
44,Apple Co-Founder Launches New Ethereum Token,"Apple co-founder Steve Wozniak has announced a new project called Efforce, a blockchain-based marketplace to exchange tokenized energy. After Apple, this is the second company that Wozniak has co-founded after a gap of 45 years.","Mon, 07 Dec 2020 06:30:58 -0500",['ethereum'],Positive,"['ETH', 'WOZX']"
45,Secret Network announces launch of programmable privacy on Ethereum,"Secret Network, a Layer 1 privacy-enabled blockchain, has announced that it will be bringing programmable privacy to the Ethereum blockchain on 14 December. The mainnet, scheduled to launch next week, will enable the Secret Ethereum Bridge that will create bridge mining opportunities for ETH and ERC-20 holders.","Mon, 07 Dec 2020 07:00:20 -0500",['ethereum'],Positive,['ETH']
46,Ethereum Network Showing Strength with Low Gas Prices and High Fee Totals,"When looking into the actual usability and functionality of the Ethereum network, it shows a similar story of mass usage compared with other major blockchains like Bitcoin. Not only is Ethereum currently significantly cheaper to transact with than Bitcoin, charging on average $0.30 for a normal Ethereum transaction, but it's also generating significantly more total … Continued The post Ethereum Network Showing Strength with Low Gas Prices and High Fee Totals appeared first on BeInCrypto.","Mon, 07 Dec 2020 07:34:29 -0500",['ethereum'],Positive,['ETH']
47,"Why aren't Bitcoin, Ethereum as leveraged as Sushi, VeChain?","The ratio of the 24-hour Open Interest [OI] change and market cap seemed to highlight an interesting trend on the question of which coin is the most leveraged in the market. Interestingly, the most leveraged cryptocurrency isn't Bitcoin or any other crypto in the top 10 of CoinMarketCap's charts.","Mon, 07 Dec 2020 09:00:41 -0500","['ethereum', 'bitcoin']",Neutral,"['BTC', 'ETH', 'VET', 'SUSHI']"
48,Ethereum Price Analysis: ETH Plotting a Huge Move Following Consolidation at $600,"Ethereum saw a small 1.1% price hike today as the coin struggles to break the upper boundary of a symmetrical triangle. Against Bitcoin, it is also trading in a triangle and is close to the apex where a breakout can be expected.","Mon, 07 Dec 2020 09:13:32 -0500","['ethereum', 'tanalysis']",Neutral,['ETH']
49,"Bitcoin, Ethereum and Tether Sneak Into Hit TV Show ""Shameless""",The hit Showtime show about the irrepressible Gallaghers had some crypto time in its final premiere episode,"Mon, 07 Dec 2020 09:23:58 -0500","['ethereum', 'stablecoins', 'bitcoin']",Positive,"['BTC', 'ETH', 'USDT']"
0,1% of all ETH is now staked on Ethereum 2.0's beacon chain,"Over 1% of Ethereum's circulating supply is now locked up on the project's new beacon chain, just one week after its launch. The post 1% of all ETH is now staked on Ethereum 2.0's beacon chain appeared first on CryptoSlate.","Mon, 07 Dec 2020 10:30:02 -0500",['ethereum'],Positive,['ETH']
1,"Top 3 Price Prediction: Bitcoin, Ethereum and Ripple on the verge of a massive breakout","The cryptocurrency market has been trading sideways for the past week losing some of its notorious volatility. The total market capitalization has been ranging from $550 billion to $592 billion as most of the major cryptocurrencies like Bitcoin, Ethereum, and Ripple have been consolidating.","Mon, 07 Dec 2020 11:01:34 -0500","['ethereum', 'bitcoin']",Positive,"['BTC', 'ETH', 'XRP']"
2,1% ETH staked in deposit contract as decentralization numbers get ‘a bit worse',"With over 1 million ETH amounting to nearly $690 million being staked in the ETH 2.0 deposit contract, more and more exchanges and custodians are making staking services available to thousands of its users. In fact, Binance, Huobi, Kraken, OKEx, and Coinbase have already offered ETH 2.0 staking options to their users, with rewards ranging […] The post 1% ETH staked in deposit contract as decentralization numbers get ‘a bit worse' appeared first on AMBCrypto.","Mon, 07 Dec 2020 12:00:14 -0500",[],Negative,['ETH']
3,"Blockchain Bites: $187M Blockchain Bond, $522M BTC Mining Revenue and ‘Ethereum-First' Institutional Investors",Singapore is funding blockchain R&D. Germany's second-largest stock exchange's crypto app saw $1.21 billion in trading volumes this year.,"Mon, 07 Dec 2020 12:19:47 -0500","['ethereum', 'institutions', 'mining']",Positive,"['BTC', 'ETH']"
4,"Bitcoin, Ethereum, and Tether get mentions on season premiere of ‘Shameless'","Major cryptocurrencies Bitcoin, Ethereum, and Tether have all got a mention on the Season 11 premiere of the long-running American comedy-drama television series “Shameless” which features on Showtime. The first episode – ‘This Is Chicago' shows how Kevin (Steve Howey) is confused about the plight of one cryptocurrency user who says:  My Bitcoin.","Mon, 07 Dec 2020 13:00:07 -0500","['ethereum', 'stablecoins', 'bitcoin']",Positive,"['BTC', 'ETH', 'USDT']"
5,"Ethereum, NEM, FTX Token Price Analysis: 07 December","Ethereum registered its highest weekly close in the past 120 weeks with a price level of $601.95. While the short-term outlook and momentum remained neutral over the past few days, ETH bulls might be able to bounce off the $580-support and attempt to go past $620.","Mon, 07 Dec 2020 13:00:53 -0500","['ethereum', 'tanalysis']",Neutral,"['ETH', 'FTT', 'XEM']"
6,"Traders Find Hefty Gains Beyond Bitcoin in Ethereum, XRP","Altcoins have outpaced Bitcoin's price appreciation this year. Though BTC rose by 170% since the beginning of the year, the altcoin market cap has grown by nearly 280%.","Mon, 07 Dec 2020 13:32:35 -0500",['ethereum'],Positive,"['ETH', 'XRP']"
7,"Price analysis 12/7: BTC, ETH, XRP, LTC, BCH, LINK, DOT, ADA, BNB, XLM","Bitcoin price continues to meet resistance at $19,500, a signal that further sideways action in BTC and altcoins is on the cards.","Mon, 07 Dec 2020 14:18:36 -0500",['tanalysis'],Neutral,"['BTC', 'ETH', 'XLM', 'XRP', 'ADA', 'BCH', 'BNB', 'DOT', 'LINK', 'LTC']"
8,Analyst: Ethereum Likely to Target $780 as Technical Strength Grows,"Ethereum has seen some lackluster price action throughout the past few days, which comes as Bitcoin leads the crypto market into a consolidation phase The crypto will likely continue seeing some sideways trading until BTC finds some clear directionality The pivotal level for ETH at the moment appears to be $600, as the selling pressure here has proven to be significant in the past Each break above this level has been short-lived and followed by […]","Mon, 07 Dec 2020 15:00:57 -0500","['ethereum', 'tanalysis']",Positive,['ETH']
9,BBC's Dr. Who Coming to Ethereum with Launch of NFT Trading Cards,"The game itself isn't live yet, but card packs are already available as part of a pre-sale. Players will eventually be able to trade scarce cards on a secondary marketplace.","Mon, 07 Dec 2020 15:14:26 -0500",['ethereum'],Positive,['ETH']
10,Two factors why Ethereum has good reason to be bullish,"Ethereum, the market's second-largest cryptocurrency and the king of the altcoins, exhibited bullish bias at the time of writing. For the same, there seemed to be more than two reasons behind it.","Mon, 07 Dec 2020 15:30:59 -0500",['ethereum'],Positive,['ETH']
11,"Market Wrap: Bitcoin Briefly Slips Below $19,000; ETH Locked in DeFi Crosses Over 7M",A bit of bitcoin price dumping occurred Monday while some investors dove back into DeFi with their ether.,"Mon, 07 Dec 2020 16:23:25 -0500",['bitcoin'],Neutral,"['BTC', 'ETH']"
12,Gold bug says 2021 will be a big year for Bitcoin and Ethereum,"He believes that rising adoption will drive Bitcoin higher next year, and that DeFi will have a similar effect on Ethereum.","Mon, 07 Dec 2020 16:54:32 -0500","['ethereum', 'bitcoin']",Positive,"['BTC', 'ETH']"
13,"Bitcoin Trading Sideways, Wave of Ethereum-First Investors","Bitcoin has been unable to pass $20,000 leading investors to analyze where we are in the market cycle, “Ethereum-first and in some cases Ethereum-only” investors are entering the market, stablecoin creator Circle believes a Biden administration will be supportive of crypto, Coinbase plans to support the “spark” token airdrop for XRP-holders, and Hong Kong is working with China's central bank on digital yuan trials. #cryptocurrency #digitalfinance #finance Subscribe to CoinDesk on YouTube: http://www.youtube.com/subscription_c.","Mon, 07 Dec 2020 19:07:58 -0500","['ethereum', 'bitcoin']",Neutral,"['BTC', 'ETH']"
14,"TA: Ethereum Hesitates, Why Close Above $600 Could Spark Fresh Surge",Ethereum is trading in a range below the $600 and $602 resistance levels against the US Dollar. ETH price could start a strong surge if there is a successful close above $600.,"Tue, 08 Dec 2020 00:28:53 -0500","['ethereum', 'tanalysis']",Positive,['ETH']
15,Over 1.2 Million ETH Deposited on Beacon Chain,"Staking on the Ethereum 2.0 deposit contract got off to a slow start with many predicting that it would not reach the target in time. A week after the Beacon Chain genesis, there has now been over 1.2 million ETH locked up in the deposit contract.","Tue, 08 Dec 2020 01:49:05 -0500",[],Positive,['ETH']
16,Traders Eye Continuation For Ethereum Toward $900 After ETH2 Launch,Ethereum is expected to shoot higher in the weeks ahead despite the recent price consolidation. The cryptocurrency has held well in the high-$500s despite some downward pressure in the Bitcoin price.,"Tue, 08 Dec 2020 02:00:58 -0500",['ethereum'],Positive,['ETH']
17,ETH Investment 101: Is it a Good Idea to Buy Ethereum Now?,"In the ever-evolving world of cryptocurrencies, Ethereum (ETH) has unarguably been one of the most promising assets since its launch in 2015. Second, only to Bitcoin in terms of market cap (and perhaps popularity too), Ethereum has the distinctive advantage of being the foundational pillar of many fast-evolving technologies such as smart contracts and DeFi, … Continued The post ETH Investment 101: Is it a Good Idea to Buy Ethereum Now?","Tue, 08 Dec 2020 06:06:15 -0500",['ethereum'],Positive,['ETH']
18,Professor: Ethereum could “eat” Wall Street in 5 to 10 years for 3 reasons,"Aaron Wright, a professor at Cardozo School of Law, believes Ethereum could “eat” Wall Street in the next 10 years. The post Professor: Ethereum could “eat” Wall Street in 5 to 10 years for 3 reasons appeared first on CryptoSlate.","Tue, 08 Dec 2020 08:05:57 -0500",['ethereum'],Positive,['ETH']
19,MyEtherWallet Launches First-Ever Mobile ETH 2.0 Staking,"MyEtherWallet has introduced ETH staking.  The pioneering Ethereum wallet has integrated Staked, a non-custodial service that enables users to stake their crypto assets in exchange for yield.","Tue, 08 Dec 2020 09:00:13 -0500",[],Positive,['ETH']
20,MyEtherWallet Now Supports Ethereum 2.0 Staking,"MEW users can now stake their Ethereum to support the Eth2 network, helping build a decentralized network of reward-earning validator nodes.","Tue, 08 Dec 2020 09:01:07 -0500",['ethereum'],Positive,['ETH']
21,What Is Ethereum 2.0 and Why You Should Care,"Long have the crypto overlords promised a solution that would aid the mass adoption of cryptocurrencies and decentralized apps (dApps).  In essence, Ethereum 2.0 (ETH 2.0), or Serenity, is a long-awaited update to the Ethereum network, attempting to solve some of the blockchain's most pressing issues.","Tue, 08 Dec 2020 09:15:05 -0500",['ethereum'],Neutral,['ETH']
22,Why Ethereum is the most dominant cryptocurrency?,"Ethereum is the most dominant cryptocurrency among the Top 4, based on activity, updates and the highest Github submission rate. The development team of Ethereum makes daily routine submissions that make it the busiest cryptocurrency that ranks #2 based on market capitalization.","Tue, 08 Dec 2020 10:00:59 -0500",['ethereum'],Positive,['ETH']
23,Ethereum 2.0 Beacon Chain may speed up enterprise blockchain adoption,Eth2's rollout could result in enterprises flocking to a more secure and scalable Ethereum network.,"Tue, 08 Dec 2020 10:07:00 -0500",['ethereum'],Neutral,['ETH']
24,"Balaji Srinivasan, Gitcoin co-founder back $750K seed round for decentralized notification system on Ethereum","The first-ever decentralized push notification service has raised $750K in its seed round. The post Balaji Srinivasan, Gitcoin co-founder back $750K seed round for decentralized notification system on Ethereum appeared first on The Block.","Tue, 08 Dec 2020 12:00:34 -0500",['ethereum'],Positive,['ETH']
25,Ethereum long-term Price Analysis: 08 December,"With the collective digital asset market showing little change over the past week, Ethereum too was victim to the same. Ether value ranged roughly between $565 and $620, maintaining position between the set of resistance and support.","Tue, 08 Dec 2020 12:30:14 -0500","['ethereum', 'tanalysis']",Neutral,['ETH']
26,"Despite Ethereum's Breakdown, a Massive Rally Could be Right Around the Corner","Ethereum has been closely tracking Bitcoin's price action over the past couple of weeks, which has opened the gates for it to see some serious weakness Where it trends in the mid-term will depend largely on whether or not bulls can eventually surmount $600 This has proven to be a crucial price region for ETH, and its sustained bout of trading beneath it may strike a serious blow to bulls One trader is now noting […]","Tue, 08 Dec 2020 15:00:11 -0500",['ethereum'],Positive,['ETH']
27,MyEtherWallet Now Offers In-App Staking for Ethereum 2.0,"One of Ethereum's most popular software wallets, MyEtherWallet, is giving users access to Ethereum 2.0 staking.","Tue, 08 Dec 2020 15:41:57 -0500",['ethereum'],Positive,['ETH']
28,"Market Wrap: Bitcoin Steadies at $18.7K; Big Ether Options Position Around $1,120 Isn't Bullish","The bitcoin market dipped again Tuesday while traders have scooped up ether options at the $1,120 price level.","Tue, 08 Dec 2020 16:46:06 -0500",['bitcoin'],Negative,"['BTC', 'ETH']"
29,Bullish Argument for Ethereum Rapidly Losing Steam as $570 Is Lost,Ethereum is primed to move lower in the days ahead as the cryptocurrency slides below $570 for the first time in many days. ETH is expected to see weakness in the near term as it slides below key technical levels with Bitcoin.,"Tue, 08 Dec 2020 21:00:09 -0500",['ethereum'],Negative,['ETH']
30,"More than 100,000 ETH locked for staking via Kraken in four days","More than 100,000 Ether, valued at $60 million, has already been locked up for Eth2 staking using Kraken within four days of the exchange launching the service.","Tue, 08 Dec 2020 21:36:15 -0500",[],Positive,['ETH']
31,"TA: Ethereum Dives To $550, Why More Downsides Seem Likely",Ethereum started a strong decline after it failed to surpass $600 against the US Dollar. ETH price declined over 6% and it is now trading near the $550 level.,"Wed, 09 Dec 2020 00:28:37 -0500","['ethereum', 'tanalysis']",Negative,['ETH']
32,Over 100K Ethereum Deposited in Kraken ETH 2.0 Staking Service,It was only a matter of time until centralized cryptocurrency exchanges jumped on the ETH 2.0 staking train with their own services. Kraken has been one of the latest to launch staking and it has been wildly popular.,"Wed, 09 Dec 2020 01:31:48 -0500",['ethereum'],Positive,['ETH']
33,"Standard Chartered partners with Northern Trust to launch Zodia, a crypto custodian for BTC, XRP, ETH, BCH, LTC","One of the leading International banking groups, Standard Chartered has taken its first step towards cryptocurrency. Its innovation arm, SC Ventures announced a partnership with Northern Trust to launch an institutional-grade custody solution for cryptocurrencies, called Zodia Custody.","Wed, 09 Dec 2020 02:00:01 -0500",[],Positive,"['BCH', 'BTC', 'ETH', 'LTC', 'XRP']"
34,"Bitcoin, Ethereum, Ripple's XRP, Litecoin And Chainlink In Free Fall After Bitcoin Price Crashes Under $18,000—What's Next?","Bitcoin has fallen sharply over the last 24 hours, moving away from the key $20,000 per bitcoin level...","Wed, 09 Dec 2020 03:14:10 -0500","['ethereum', 'bitcoin']",Negative,"['BTC', 'ETH', 'LINK', 'LTC', 'XRP']"
35,Valid Points: Ethereum 2.0 Soars Past 1M ETH Staked,"Breaking down Ethereum 2.0 and its sweeping impact on crypto markets, weekly.","Wed, 09 Dec 2020 07:30:00 -0500",['ethereum'],Positive,['ETH']
